x,y
-4.149780715294406264e+01,1.501646319691665212e+03
1.702683775019788470e+01,3.121990133608230167e+02
-6.387023832853066807e+01,4.210027774039288488e+03
8.489452698929792973e+01,7.955906629872499252e+03
-6.656921088300407519e+01,4.260897207747521861e+03
-2.860584616418839232e+01,7.067872451372871865e+02
9.534438634292038728e+01,9.284466066129316459e+03
-4.412239138774689451e+01,2.016300772662632198e+03
-5.279763983902867608e+00,1.672859937036603739e+01
-8.982491298729384255e+01,8.630607197308514515e+03
7.244268232828807186e+01,5.003634285922352319e+03
4.170926949086805280e+00,2.867765029080274530e+01
5.424352322738107546e+01,2.967308228278641764e+03
3.421807023779109613e+01,1.358779587462670179e+03
6.797061012650337375e+01,5.144209916159044951e+03
7.332809323956479375e+01,6.068667708416464848e+03
-6.147915957067618109e+01,3.868184296993013049e+03
7.242190073598564481e+00,7.314326188759720537e+01
2.554717750715735747e+01,6.402060764886217612e+02
1.594844276166907093e+01,3.125474204426310507e+02
-2.824008615313840664e+01,7.105477914771457790e+02
3.117689824434859247e+01,1.033680662078637397e+03
-1.299296672837493816e+01,1.565896110830760790e+02
5.647734165199852896e+01,3.546486094701984712e+03
-5.367918704045151657e+01,2.716608953675955945e+03
9.629833791681718935e+01,8.831043101183497129e+03
-2.327544878966264719e+00,1.888829017923419729e+00
-9.474837334188185878e+01,8.880332884683470184e+03
2.853002801095709628e+01,8.067773340847619465e+02
6.143713669120688792e+01,3.796325758004154522e+03
9.760462691497582455e+01,9.356391190489535802e+03
-8.242714616139289774e+01,6.214538217928703489e+03
-6.232358843323002873e+01,3.623529626194735556e+03
-4.245578530225076008e+01,1.886203696863758296e+03
7.282765987928544860e+01,5.813185447732881585e+03
8.317965480852228666e+01,6.393454633613272563e+03
7.362384064136497841e+01,5.697202919752109665e+03
-4.962357874550720283e+01,2.366753223688964681e+03
6.396239424873473922e+01,4.464596533206457934e+03
4.319786865068974180e+01,2.057021699149868255e+03
1.613167910186288623e+01,2.985798094334896859e+02
2.172958161274507916e+01,5.517925186925911021e+02
-4.181547265266569724e+01,1.651435144861629396e+03
-9.818013085956339125e+01,9.538058998266918934e+03
-8.398607681149201198e+01,6.458616328272533792e+03
4.492731001365029897e+01,2.183665633658752995e+03
-5.683228741195114253e+01,3.318317041361695829e+03
-1.678061580467502267e+01,2.440052152094406779e+02
5.090570553964857936e+01,2.697801790949005408e+03
-8.478603391672969281e+01,6.348404191563326094e+03
-5.815521175673916332e+01,3.294108473152845363e+03
6.879931294181139378e+01,4.523218202311625646e+03
1.595717276644907656e+01,3.004567015035102031e+02
9.426956433519399070e+01,8.241893192699903011e+03
9.792558535543636822e+01,1.018315545131509134e+04
-8.156062921571310653e+01,5.987881049624285879e+03
3.785386924672519626e+01,1.490935485597700335e+03
3.591111965207628032e+01,1.387100604791671458e+03
3.883805424156051345e+01,1.440146811153019144e+03
-3.731629330600332395e+01,1.267879785344830680e+03
9.451525351378916184e+01,9.037363158224954532e+03
-2.414933016976220870e+00,1.859749041287813709e+00
-3.431717443110872523e+01,1.022706893490315451e+03
-5.940429201059516373e+01,3.179008561123667278e+03
3.841209642498930066e+01,1.519618393582854878e+03
4.140445150176151401e+01,1.653916114955817875e+03
-4.677747995864236685e+01,2.126174982482084033e+03
-9.130097825190286187e+01,8.580042966975672243e+03
-9.562134299116509339e+01,8.966283875287877891e+03
5.811153986456235998e+01,3.824832863335246202e+03
-4.618302258093521573e+00,1.271618773432186522e+01
-9.714439752654759275e+01,8.488384318551563410e+03
-8.348244484039724966e+01,7.172704250862926528e+03
5.917912279458056446e+01,3.607596224791574969e+03
-3.986449648727629835e+01,1.446568597109076563e+03
-7.917545745566803816e+01,6.704448323097304637e+03
-3.985726181402273482e+01,1.644896669742877293e+03
-7.863620191669986070e+01,5.829902756841649534e+03
2.770494301184250219e+01,8.179008883428664376e+02
8.268674179732397533e+01,6.335109384541246072e+03
-4.014712697022302734e+01,1.548180204687448168e+03
6.345514844514897845e+01,4.409533697753795423e+03
-3.038601345190630809e+01,9.193416256370520614e+02
-7.461097810995912027e+01,5.169774203359114836e+03
-3.716091648302284511e+01,1.336678997768313593e+03
-3.811282176785313425e+01,1.414470914824813235e+03
-6.227082732011272981e+01,3.481868855207699653e+03
-9.998563816386021585e+01,8.821534949718830831e+03
6.968470369212556648e+01,5.279042374390520308e+03
-3.067203510886304230e+01,8.347568151531552303e+02
-5.829379083578280785e+01,3.360944141736345955e+03
-9.268337387641318514e+01,8.124986380876294788e+03
8.842877140882728781e+01,7.855255303118849952e+03
-3.418928499789018360e+00,6.037723562985458869e+00
-4.434204059943709098e+01,1.876433793595015459e+03
-2.023019763973341867e+01,3.498156766408014278e+02
8.877655204660138111e+01,7.281286147568749584e+03
-9.628940278533517017e+01,9.905234648761128483e+03
-8.507121966908144373e+01,6.389072010973193755e+03
-3.957355294838214377e+01,1.608835300417220424e+03
-4.438246431980312678e+01,2.059497631399103739e+03
-5.595472474048364120e+00,2.209640036621932779e+01
6.489040339718258110e+01,4.007510205454536390e+03
-8.874353913468083022e+01,7.196934017280605076e+03
7.861711217467203028e+01,6.112672523303366688e+03
9.869574824767846621e+01,1.082587474322832895e+04
8.198301966454323519e+01,6.515475062338884527e+03
-8.637826697002839182e+01,8.016315046319912653e+03
-3.287476218060865563e+01,9.588160358165657726e+02
-3.233894569003301456e+01,9.412318896535418844e+02
6.552872763484685947e+01,4.578034373617441815e+03
5.960929049333230978e+01,3.720353882314230304e+03
3.148681834069890328e+01,1.072980145100479831e+03
8.692253290102377150e+01,8.315039732246263156e+03
